Week,aapl
7/10/2016,21
7/17/2016,24
7/24/2016,47
7/31/2016,25
8/7/2016,22
8/14/2016,23
8/21/2016,19
8/28/2016,22
9/4/2016,28
9/11/2016,34
9/18/2016,25
9/25/2016,19
10/2/2016,18
10/9/2016,26
10/16/2016,20
10/23/2016,36
10/30/2016,19
11/6/2016,22
11/13/2016,18
11/20/2016,14
11/27/2016,14
12/4/2016,17
12/11/2016,17
12/18/2016,15
12/25/2016,11
1/1/2017,13
1/8/2017,16
1/15/2017,15
1/22/2017,19
1/29/2017,46
2/5/2017,22
2/12/2017,27
2/19/2017,19
2/26/2017,22
3/5/2017,18
3/12/2017,17
3/19/2017,21
3/26/2017,19
4/2/2017,17
4/9/2017,15
4/16/2017,15
4/23/2017,19
4/30/2017,39
5/7/2017,30
5/14/2017,24
5/21/2017,20
5/28/2017,16
6/4/2017,25
6/11/2017,27
6/18/2017,21
6/25/2017,20
7/2/2017,15
7/9/2017,16
7/16/2017,17
7/23/2017,20
7/30/2017,47
8/6/2017,23
8/13/2017,23
8/20/2017,16
8/27/2017,20
9/3/2017,15
9/10/2017,35
9/17/2017,22
9/24/2017,24
10/1/2017,17
10/8/2017,14
10/15/2017,20
10/22/2017,21
10/29/2017,43
11/5/2017,27
11/12/2017,19
11/19/2017,17
11/26/2017,22
12/3/2017,20
12/10/2017,18
12/17/2017,20
12/24/2017,21
12/31/2017,19
1/7/2018,18
1/14/2018,20
1/21/2018,24
1/28/2018,44
2/4/2018,36
2/11/2018,31
2/18/2018,18
2/25/2018,24
3/4/2018,20
3/11/2018,18
3/18/2018,20
3/25/2018,22
4/1/2018,22
4/8/2018,18
4/15/2018,21
4/22/2018,24
4/29/2018,49
5/6/2018,32
5/13/2018,23
5/20/2018,20
5/27/2018,16
6/3/2018,24
6/10/2018,17
6/17/2018,19
6/24/2018,18
7/1/2018,14
7/8/2018,17
7/15/2018,17
7/22/2018,20
7/29/2018,68
8/5/2018,27
8/12/2018,25
8/19/2018,23
8/26/2018,29
9/2/2018,22
9/9/2018,34
9/16/2018,24
9/23/2018,21
9/30/2018,23
10/7/2018,28
10/14/2018,23
10/21/2018,26
10/28/2018,52
11/4/2018,31
11/11/2018,36
11/18/2018,29
11/25/2018,33
12/2/2018,29
12/9/2018,30
12/16/2018,27
12/23/2018,27
12/30/2018,60
1/6/2019,31
1/13/2019,24
1/20/2019,18
1/27/2019,48
2/3/2019,25
2/10/2019,19
2/17/2019,15
2/24/2019,17
3/3/2019,15
3/10/2019,23
3/17/2019,26
3/24/2019,27
3/31/2019,24
4/7/2019,23
4/14/2019,21
4/21/2019,22
4/28/2019,43
5/5/2019,24
5/12/2019,28
5/19/2019,22
5/26/2019,16
6/2/2019,24
6/9/2019,19
6/16/2019,19
6/23/2019,19
6/30/2019,16
7/7/2019,20
7/14/2019,16
7/21/2019,19
7/28/2019,35
8/4/2019,22
8/11/2019,23
8/18/2019,21
8/25/2019,15
9/1/2019,14
9/8/2019,26
9/15/2019,17
9/22/2019,15
9/29/2019,18
10/6/2019,19
10/13/2019,17
10/20/2019,21
10/27/2019,34
11/3/2019,22
11/10/2019,20
11/17/2019,17
11/24/2019,15
12/1/2019,19
12/8/2019,19
12/15/2019,20
12/22/2019,18
12/29/2019,23
1/5/2020,30
1/12/2020,27
1/19/2020,21
1/26/2020,41
2/2/2020,29
2/9/2020,24
2/16/2020,26
2/23/2020,46
3/1/2020,41
3/8/2020,54
3/15/2020,48
3/22/2020,42
3/29/2020,28
4/5/2020,25
4/12/2020,30
4/19/2020,21
4/26/2020,33
5/3/2020,27
5/10/2020,26
5/17/2020,22
5/24/2020,18
5/31/2020,20
6/7/2020,29
6/14/2020,25
6/21/2020,30
6/28/2020,22
7/5/2020,27
7/12/2020,31
7/19/2020,28
7/26/2020,52
8/2/2020,52
8/9/2020,48
8/16/2020,51
8/23/2020,65
8/30/2020,100
9/6/2020,68
9/13/2020,66
9/20/2020,60
9/27/2020,46
10/4/2020,46
10/11/2020,61
10/18/2020,40
10/25/2020,54
11/1/2020,40
11/8/2020,43
11/15/2020,34
11/22/2020,30
11/29/2020,38
12/6/2020,32
12/13/2020,35
12/20/2020,36
12/27/2020,32
1/3/2021,37
1/10/2021,35
1/17/2021,35
1/24/2021,72
1/31/2021,51
2/7/2021,37
2/14/2021,30
2/21/2021,46
2/28/2021,43
3/7/2021,46
3/14/2021,36
3/21/2021,31
3/28/2021,28
4/4/2021,34
4/11/2021,35
4/18/2021,32
4/25/2021,46
5/2/2021,31
5/9/2021,31
5/16/2021,27
5/23/2021,26
5/30/2021,19
6/6/2021,25
6/13/2021,24
6/20/2021,25
6/27/2021,25
7/4/2021,31
